bCls,bC,bCT,negA,npi,tin,tinT,zip,negT,negR,posH,mdH,nrP,_dT
1,33512,CPT,1,1972695690,943404867,1,94115,3,3510.8,42,42,1,1
1,33513,CPT,1,1972695690,943404867,1,94115,3,3628.95,42,42,1,1
1,33542,CPT,1,1972695690,943404867,1,94115,3,3795.75,42,42,1,1
1,33572,CPT,1,1275566424,990148164,1,96792,3,269.26,42,42,1,1
1,33647,CPT,1,1356449482,990339203,1,96826,3,4469.25,42,42,1,1
1,33724,CPT,1,1033394838,208296241,1,96743,3,1510.79,42,42,1,1
1,33750,CPT,1,1033606629,990149797,1,96819,3,1111.22,42,42,1,1
1,33853,CPT,1,1033606629,990149797,1,96819,3,1712.91,42,42,1,1
1,33875,CPT,1,1033394838,208296241,1,96743,3,2677.08,42,42,1,1
1,33880,CPT,1,1275566424,990148164,1,96792,3,2131.21,42,42,1,1
1,34101,CPT,1,1972695690,943404867,1,94115,3,904.2,42,42,1,1
1,34111,CPT,1,1972695690,943404867,1,94115,3,908.2,42,42,1,1
1,34151,CPT,1,1972695690,943404867,1,94115,3,2085.4,42,42,1,1
1,34502,CPT,1,1033606629,990149797,1,96819,3,1116.9,42,42,1,1
1,34812,CPT,1,1972695690,943404867,1,94115,3,510.7,42,42,1,1
1,35190,CPT,1,1972695690,943404867,1,94115,3,1107.75,42,42,1,1
1,35221,CPT,1,1275566424,990148164,1,96792,3,1668.91,42,42,1,1
1,35226,CPT,1,1275566424,990148164,1,96792,3,1000.43,42,42,1,1
1,35251,CPT,1,1972695690,943404867,1,94115,3,2453.15,42,42,1,1
1,35571,CPT,1,1972695690,943404867,1,94115,3,2001.15,42,42,1,1
1,35600,CPT,1,1275566424,990148164,1,96792,3,301.31,42,42,1,1
1,35631,CPT,1,1356449482,990339203,1,96826,3,2200.25,42,42,1,1
1,35820,CPT,1,1972695690,943404867,1,94115,3,2830.1,42,42,1,1
1,35876,CPT,1,1972695690,943404867,1,94115,3,1414.45,42,42,1,1
1,35879,CPT,1,1972695690,943404867,1,94115,3,1384.9,42,42,1,1
1,35903,CPT,1,1033394838,208296241,1,96743,3,567.83,42,42,1,1
1,36012,CPT,1,1275566424,990148164,1,96792,3,1153.7,42,42,1,1
1,36245,CPT,1,1134222151,990320956,1,96732,3,1685.21,42,42,1,1
1,36246,CPT,1,1134222151,990320956,1,96732,3,1629.96,42,42,1,1
1,36248,CPT,1,1275566424,990148164,1,96792,3,205.27,42,42,1,1
1,36406,CPT,1,1033606629,990149797,1,96819,3,7.43,42,42,1,1
1,36475,CPT,1,1558326629,990157698,1,96817,3,3112.82,42,42,1,1
1,36475,CPT,1,1548603574,990157698,1,96817,3,3112.82,42,42,1,1
1,36475,CPT,1,1336536036,990157698,1,96817,3,3112.82,42,42,1,1
1,36481,CPT,1,1558326629,990157698,1,96817,3,2113.49,42,42,1,1
1,36481,CPT,1,1548603574,990157698,1,96817,3,2113.49,42,42,1,1
1,36481,CPT,1,1336536036,990157698,1,96817,3,2113.49,42,42,1,1
1,36557,CPT,1,1558326629,990157698,1,96817,3,1564.26,42,42,1,1
1,36557,CPT,1,1548603574,990157698,1,96817,3,1564.26,42,42,1,1
1,36557,CPT,1,1336536036,990157698,1,96817,3,1564.26,42,42,1,1
1,36558,CPT,1,1033394838,208296241,1,96743,3,843.8,42,42,1,1
1,36561,CPT,1,1972695690,943404867,1,94115,3,1481.1,42,42,1,1
1,36565,CPT,1,1972695690,943404867,1,94115,3,1243.15,42,42,1,1
1,36571,CPT,1,1033394838,208296241,1,96743,3,1421.39,42,42,1,1
1,36580,CPT,1,1558326629,990157698,1,96817,3,374.48,42,42,1,1
1,36580,CPT,1,1548603574,990157698,1,96817,3,374.48,42,42,1,1
1,36580,CPT,1,1336536036,990157698,1,96817,3,374.48,42,42,1,1
1,36589,CPT,1,1972695690,943404867,1,94115,3,207.95,42,42,1,1
1,36625,CPT,1,1033394838,208296241,1,96743,3,101.48,42,42,1,1
1,36625,CPT,1,1275566424,990148164,1,96792,3,120.96,42,42,1,1
1,36680,CPT,1,1033394838,208296241,1,96743,3,56.97,42,42,1,1
1,36818,CPT,1,1972695690,943404867,1,94115,3,1001.75,42,42,1,1
1,36825,CPT,1,1972695690,943404867,1,94115,3,851.55,42,42,1,1
1,36830,CPT,1,1033394838,208296241,1,96743,3,664.32,42,42,1,1
1,36832,CPT,1,1972695690,943404867,1,94115,3,851.55,42,42,1,1
1,37227,CPT,1,1033394838,208296241,1,96743,3,16627.37,42,42,1,1
1,37228,CPT,1,1275566424,990148164,1,96792,3,7023.01,42,42,1,1
1,37230,CPT,1,1033394838,208296241,1,96743,3,9223.69,42,42,1,1
1,37233,CPT,1,1033394838,208296241,1,96743,3,1590.85,42,42,1,1
1,37233,CPT,1,1275566424,990148164,1,96792,3,1888.08,42,42,1,1
1,37607,CPT,1,1972695690,943404867,1,94115,3,554.25,42,42,1,1
1,37609,CPT,1,1972695690,943404867,1,94115,3,378.0,42,42,1,1
1,37760,CPT,1,1275566424,990148164,1,96792,3,761.95,42,42,1,1
1,38241,CPT,1,1275566424,990148164,1,96792,3,145.51,42,42,1,1
1,38308,CPT,1,1356449482,990339203,1,96826,3,362.0,42,42,1,1
1,38740,CPT,1,1972695690,943404867,1,94115,3,925.25,42,42,1,1
1,38746,CPT,1,1033394838,208296241,1,96743,3,207.96,42,42,1,1
1,38790,CPT,1,1972695690,943404867,1,94115,3,117.05,42,42,1,1
1,38792,CPT,1,1558326629,990157698,1,96817,3,63.13,42,42,1,1
1,38792,CPT,1,1548603574,990157698,1,96817,3,63.13,42,42,1,1
1,38792,CPT,1,1336536036,990157698,1,96817,3,63.13,42,42,1,1
1,38900,CPT,1,1275566424,990148164,1,96792,3,152.23,42,42,1,1
1,39541,CPT,1,1972695690,943404867,1,94115,3,1289.65,42,42,1,1
1,39561,CPT,1,1275566424,990148164,1,96792,3,1413.54,42,42,1,1
1,40500,CPT,1,1275566424,990148164,1,96792,3,616.29,42,42,1,1
1,41008,CPT,1,1275566424,990148164,1,96792,3,451.76,42,42,1,1
1,41010,CPT,1,1356449482,990339203,1,96826,3,206.25,42,42,1,1
1,41110,CPT,1,1033394838,208296241,1,96743,3,231.96,42,42,1,1
1,41115,CPT,1,1356449482,990339203,1,96826,3,275.0,42,42,1,1
1,41820,CPT,1,1356449482,990339203,1,96826,3,343.75,42,42,1,1
1,41820,CPT,1,1033606629,990149797,1,96819,3,150.26,42,42,1,1
1,42409,CPT,1,1033394838,208296241,1,96743,3,358.87,42,42,1,1
1,42820,CPT,1,1275566424,990148164,1,96792,3,348.59,42,42,1,1
1,42825,CPT,1,1033394838,208296241,1,96743,3,273.15,42,42,1,1
1,43200,CPT,1,1275566424,990148164,1,96792,3,269.93,42,42,1,1
1,43201,CPT,1,1275566424,990148164,1,96792,3,369.66,42,42,1,1
1,43232,CPT,1,1033394838,208296241,1,96743,3,509.04,42,42,1,1
1,43236,CPT,1,1275566424,990148164,1,96792,3,457.04,42,42,1,1
1,43243,CPT,1,1033394838,208296241,1,96743,3,247.05,42,42,1,1
1,43245,CPT,1,1275566424,990148164,1,96792,3,219.86,42,42,1,1
1,43259,CPT,1,1275566424,990148164,1,96792,3,356.0,42,42,1,1
1,43261,CPT,1,1275566424,990148164,1,96792,3,426.5,42,42,1,1
1,43265,CPT,1,1275566424,990148164,1,96792,3,673.56,42,42,1,1
1,43270,CPT,1,1033394838,208296241,1,96743,3,809.84,42,42,1,1
1,43276,CPT,1,1033394838,208296241,1,96743,3,496.95,42,42,1,1
